EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM551,23,18-25,0,3,650,1,9,1,3,1,758,2,1,37,3,1,2,1,1,2500,Upto 5k,4344,1,Y,0,14,3,4,80,1,5,2,4,4,3,0,2.0
RM566,23,18-25,0,3,310,1,10,1,3,1,784,1,1,79,4,1,6,3,2,3505,Upto 5k,19630,1,Y,0,18,3,4,80,0,2,3,3,2,2,0,2.0
RM586,23,18-25,1,3,1243,1,6,3,1,1,811,3,1,63,4,1,2,1,1,1601,Upto 5k,3445,1,Y,1,21,4,3,80,2,1,2,3,0,0,0,0.0
RM911,23,18-25,0,3,373,1,1,2,1,1,1270,4,1,47,3,1,6,3,1,1223,Upto 5k,16901,1,Y,0,22,4,4,80,1,1,2,3,1,0,0,1.0
RM1083,23,18-25,0,3,507,1,20,1,1,1,1533,1,1,97,3,2,2,3,2,2272,Upto 5k,24812,0,Y,0,14,3,2,80,0,5,2,3,4,3,1,2.0
RM1128,23,18-25,0,3,977,1,10,3,5,1,1592,4,1,45,4,1,6,3,1,2073,Upto 5k,12826,2,Y,0,16,3,4,80,1,4,2,3,2,2,2,2.0
RM1202,23,18-25,1,3,1320,1,8,1,3,1,1684,4,1,93,2,1,2,3,2,3989,Upto 5k,20586,1,Y,1,11,3,1,80,0,5,2,3,5,4,1,2.0
RM1214,23,18-25,1,3,427,2,7,3,1,1,1702,3,1,99,3,1,8,4,0,2275,Upto 5k,25103,1,Y,1,21,4,2,80,1,3,2,3,3,2,0,2.0
RM1239,23,18-25,0,3,160,1,4,1,3,1,1735,3,0,51,3,1,2,2,2,3295,Upto 5k,12862,1,Y,0,13,3,3,80,0,3,3,1,3,2,1,2.0
RM1409,23,18-25,0,3,571,1,12,2,4,1,1982,4,1,78,3,1,2,4,2,2647,Upto 5k,13672,1,Y,0,13,3,3,80,0,5,6,4,5,2,1,4.0
RM1439,23,18-25,1,2,638,2,9,3,2,1,2023,4,1,33,3,1,8,1,1,1790,Upto 5k,26956,1,Y,0,19,3,1,80,1,1,3,2,1,0,1,0.0
RM021,24,18-25,0,0,673,1,11,2,4,1,26,1,0,96,4,2,4,3,0,4011,Upto 5k,8232,0,Y,0,18,3,4,80,1,5,5,2,4,2,1,3.0
RM035,24,18-25,1,3,813,1,1,3,3,1,45,2,1,61,3,1,6,4,1,2293,Upto 5k,3020,2,Y,1,16,3,1,80,1,6,2,2,2,0,2,0.0
RM097,24,18-25,0,3,1353,2,3,2,4,1,128,1,0,33,3,2,7,3,1,4999,Upto 5k,17519,0,Y,0,21,4,1,80,1,4,2,2,3,2,0,2.0
RM114,24,18-25,0,3,1127,1,18,1,1,1,150,2,1,52,3,1,2,3,1,2774,Upto 5k,13257,0,Y,0,12,3,3,80,1,6,2,3,5,3,1,2.0
RM381,24,18-25,0,3,1371,2,10,4,2,1,507,4,0,77,3,2,7,3,0,4260,Upto 5k,5915,1,Y,1,12,3,4,80,1,5,2,4,5,2,0,3.0
RM415,24,18-25,1,3,1448,2,1,1,5,1,554,1,0,62,3,1,8,2,2,3202,Upto 5k,21972,1,Y,1,16,3,2,80,0,6,4,3,5,3,1,4.0
RM471,24,18-25,0,2,535,2,24,3,3,1,632,4,1,38,3,1,8,4,1,2400,Upto 5k,5530,0,Y,0,13,3,3,80,2,3,3,3,2,2,2,1.0
RM475,24,18-25,0,3,691,1,23,3,3,1,639,2,1,89,4,1,6,4,1,2725,Upto 5k,21630,1,Y,1,11,3,2,80,2,6,3,3,6,5,1,4.0
RM477,24,18-25,0,3,823,1,17,2,4,1,643,4,1,94,2,1,2,2,1,2127,Upto 5k,9100,1,Y,0,21,4,4,80,1,1,2,3,1,0,0,0.0
RM480,24,18-25,1,2,1287,1,7,3,1,1,647,1,0,55,3,1,2,3,1,2886,Upto 5k,14168,1,Y,1,16,3,4,80,1,6,4,3,6,3,1,2.0
RM526,24,18-25,1,3,693,2,3,2,1,1,720,1,0,65,3,2,7,3,2,4577,Upto 5k,24785,9,Y,0,14,3,1,80,0,4,3,3,2,2,2,0.0
RM587,24,18-25,0,0,1092,1,9,3,1,1,812,3,1,60,2,1,2,2,0,2694,Upto 5k,26551,1,Y,0,11,3,3,80,3,1,4,3,1,0,0,0.0
RM641,24,18-25,0,0,1269,1,4,1,1,1,888,1,1,46,2,1,2,4,1,3162,Upto 5k,10778,0,Y,0,17,3,4,80,0,6,2,2,5,2,3,4.0
RM725,24,18-25,0,3,1206,1,17,1,3,1,1009,4,0,41,2,2,4,3,0,4377,Upto 5k,24117,1,Y,0,15,3,2,80,2,5,6,3,4,2,3,2.0
RM842,24,18-25,0,3,477,1,24,3,3,1,1173,4,1,49,3,1,2,2,2,3597,Upto 5k,6409,8,Y,0,22,4,4,80,0,6,2,3,4,3,1,2.0
RM872,24,18-25,1,3,984,1,17,2,1,1,1219,4,0,97,3,1,2,2,1,2210,Upto 5k,3372,1,Y,0,13,3,1,80,1,1,3,1,1,0,0,0.0
RM1026,24,18-25,0,3,1476,2,4,1,3,1,1445,4,0,42,3,2,7,3,1,4162,Upto 5k,15211,1,Y,1,12,3,3,80,2,5,3,3,5,4,0,3.0
RM1061,24,18-25,1,2,381,1,9,3,3,1,1494,2,1,89,3,1,2,1,2,3172,Upto 5k,16998,2,Y,1,11,3,3,80,0,4,2,2,0,0,0,0.0
RM1062,24,18-25,0,0,830,2,13,2,1,1,1495,4,0,78,3,1,8,2,1,2033,Upto 5k,7103,1,Y,0,13,3,3,80,1,1,2,3,1,0,0,0.0
RM1098,24,18-25,0,3,350,1,21,2,5,1,1551,3,1,57,2,1,2,1,0,2296,Upto 5k,10036,0,Y,0,14,3,2,80,3,2,3,3,1,1,0,0.0
RM1169,24,18-25,0,2,567,1,2,1,5,1,1646,1,0,32,3,1,6,4,2,3760,Upto 5k,17218,1,Y,1,13,3,3,80,0,6,2,3,6,3,1,3.0
RM1218,24,18-25,0,3,581,1,9,3,3,1,1707,3,1,62,4,1,6,3,1,4401,Upto 5k,17616,1,Y,0,16,3,4,80,1,5,1,3,5,3,0,4.0
RM1223,24,18-25,1,3,240,0,22,1,0,1,1714,4,1,58,1,1,1,3,1,1555,Upto 5k,11585,1,Y,0,11,3,3,80,1,1,2,3,1,0,0,0.0
RM1231,24,18-25,0,3,506,1,29,1,3,1,1725,2,1,91,3,1,2,1,0,3907,Upto 5k,3622,1,Y,0,13,3,2,80,3,6,2,4,6,2,1,2.0
RM1246,24,18-25,0,2,897,0,10,3,3,1,1746,1,1,59,3,1,1,4,1,2145,Upto 5k,2097,0,Y,0,14,3,4,80,1,3,2,3,2,2,2,1.0
RM1408,24,18-25,0,3,771,1,1,2,1,1,1981,2,1,45,2,2,0,3,2,4617,Upto 5k,14120,1,Y,0,12,3,2,80,0,4,2,2,4,3,1,2.0
RM108,25,18-25,1,3,240,2,5,3,2,1,142,3,1,46,2,2,7,3,2,5744,5k-10k,26959,1,Y,1,11,3,4,80,0,6,1,3,6,4,0,3.0
RM109,25,18-25,0,3,1280,1,7,1,3,1,143,4,1,64,2,1,6,4,1,2889,Upto 5k,26897,1,Y,0,11,3,3,80,2,2,2,3,2,2,2,1.0
RM139,25,18-25,0,3,959,2,28,3,1,1,183,1,1,41,2,2,7,3,1,8639,5k-10k,24835,2,Y,0,18,3,4,80,0,6,3,3,2,2,2,
RM256,25,18-25,0,3,685,1,1,3,1,1,350,1,0,62,3,2,4,3,1,4898,Upto 5k,7505,0,Y,0,12,3,4,80,2,5,3,3,4,2,1,
RM268,25,18-25,0,0,675,1,5,2,1,1,369,2,1,85,4,2,0,1,0,4000,Upto 5k,18384,1,Y,0,12,3,4,80,2,6,2,3,6,3,1,5.0
RM398,25,18-25,0,3,891,2,4,2,1,1,527,2,0,99,2,2,7,4,2,4487,Upto 5k,12090,1,Y,1,11,3,2,80,0,5,3,3,5,4,1,3.0
RM406,25,18-25,1,3,688,1,3,3,3,1,538,1,1,91,3,1,2,1,1,4031,Upto 5k,9396,5,Y,0,13,3,3,80,1,6,5,3,2,2,0,
RM479,25,18-25,0,3,622,2,13,1,3,1,645,2,1,40,3,1,8,3,1,2096,Upto 5k,26376,1,Y,0,11,3,3,80,0,7,1,3,7,4,0,6.0
RM518,25,18-25,0,3,810,2,8,3,1,1,707,4,1,57,4,2,7,2,1,4851,Upto 5k,15678,0,Y,0,22,4,3,80,1,4,4,3,3,2,1,2.0
RM564,25,18-25,0,3,883,2,26,1,3,1,781,3,0,32,3,2,7,4,2,6180,5k-10k,22807,1,Y,0,23,4,2,80,0,6,5,2,6,5,1,4.0
RM619,25,18-25,0,3,180,1,2,1,3,1,854,1,1,65,4,1,6,1,2,3424,Upto 5k,21632,7,Y,0,13,3,3,80,0,6,3,2,4,3,0,1.0
RM635,25,18-25,0,3,141,2,3,1,4,1,879,3,1,98,3,2,7,1,1,4194,Upto 5k,14363,1,Y,1,18,3,4,80,0,5,3,3,5,3,0,3.0
RM639,25,18-25,0,3,583,2,4,1,2,1,885,3,1,87,2,2,7,1,1,4256,Upto 5k,18154,1,Y,0,12,3,1,80,0,5,1,4,5,2,0,3.0
RM684,25,18-25,1,3,867,2,19,2,2,1,952,3,1,36,2,1,8,2,1,2413,Upto 5k,18798,1,Y,1,18,3,3,80,3,1,2,3,1,0,0,0.0
RM797,25,18-25,1,3,1219,1,4,1,5,1,1106,4,1,32,3,1,2,4,1,3691,Upto 5k,4605,1,Y,1,15,3,2,80,1,7,3,4,7,7,5,6.0
RM886,25,18-25,0,3,1356,2,10,4,1,1,1240,3,1,57,3,2,7,4,2,4950,Upto 5k,20623,0,Y,0,14,3,2,80,0,5,4,3,4,3,1,1.0
RM912,25,18-25,1,2,599,2,24,1,1,1,1273,3,1,73,1,1,8,4,2,1118,Upto 5k,8040,1,Y,1,14,3,4,80,0,1,4,3,1,0,1,0.0
RM935,25,18-25,0,3,266,1,1,3,3,1,1303,4,0,40,3,1,6,2,2,2096,Upto 5k,18830,1,Y,0,18,3,4,80,0,2,3,2,2,2,2,1.0
RM966,25,18-25,0,3,882,1,19,1,3,1,1358,4,1,67,3,1,2,4,1,3669,Upto 5k,9075,3,Y,0,11,3,3,80,3,7,6,2,3,2,1,2.0
RM994,25,18-25,0,3,1372,2,18,1,1,1,1399,1,1,93,4,2,7,3,1,6232,5k-10k,12477,2,Y,0,11,3,2,80,0,6,3,2,3,2,1,2.0
RM1004,25,18-25,0,3,949,1,1,3,5,1,1415,1,1,81,3,1,2,4,1,3229,Upto 5k,4910,4,Y,0,11,3,2,80,1,7,2,2,3,2,0,2.0
RM1022,25,18-25,1,3,383,2,9,2,1,1,1439,1,1,68,2,1,8,1,1,4400,Upto 5k,15182,3,Y,0,12,3,1,80,0,6,2,3,3,2,2,2.0
RM1175,25,18-25,0,2,772,1,2,1,1,1,1653,4,1,77,4,2,4,3,0,5206,5k-10k,4973,1,Y,0,17,3,3,80,2,7,6,3,7,7,0,7.0
RM1412,25,18-25,0,3,309,0,2,3,0,1,1987,3,0,82,3,1,1,2,1,2187,Upto 5k,19655,4,Y,0,14,3,3,80,0,6,3,3,2,0,1,2.0
RM1414,25,18-25,0,3,977,1,2,1,4,1,1992,4,1,57,3,1,2,3,0,3977,Upto 5k,7298,6,Y,1,19,3,3,80,1,7,2,2,2,2,0,2.0
RM1434,25,18-25,0,3,1382,2,8,2,4,1,2018,1,0,85,3,2,7,3,0,4907,Upto 5k,13684,0,Y,1,22,4,2,80,1,6,3,2,5,3,0,4.0
RM043,26,26-35,1,3,1357,1,25,3,1,1,55,1,1,48,1,1,2,3,2,2293,Upto 5k,10558,1,Y,0,12,3,3,80,0,1,2,2,1,0,0,1.0
RM055,26,26-35,0,3,1443,2,23,3,2,1,72,3,0,47,2,2,7,4,1,4157,Upto 5k,21436,7,Y,1,19,3,3,80,1,5,2,2,2,2,0,0.0
RM126,26,26-35,0,3,841,1,6,3,4,1,164,3,0,46,2,1,6,2,1,2368,Upto 5k,23300,1,Y,0,19,3,3,80,0,5,3,2,5,4,4,3.0
RM135,26,26-35,0,3,1355,0,25,1,1,1,177,3,0,61,3,1,1,3,1,2942,Upto 5k,8916,1,Y,0,23,4,4,80,1,8,3,3,8,7,5,7.0
RM279,26,26-35,0,2,1479,1,1,3,1,1,384,3,0,84,3,2,4,2,0,6397,5k-10k,26767,1,Y,0,20,4,1,80,1,6,6,1,6,5,1,4.0
RM285,26,26-35,0,2,496,1,11,2,3,1,390,1,1,60,3,2,0,1,1,4741,Upto 5k,22722,1,Y,1,13,3,3,80,1,5,3,3,5,3,3,3.0
RM289,26,26-35,1,3,1449,1,16,4,3,1,394,1,1,45,3,1,2,2,0,2373,Upto 5k,14180,2,Y,1,13,3,4,80,1,5,2,3,3,2,0,2.0
RM294,26,26-35,1,3,950,2,4,4,2,1,401,4,1,48,2,2,7,4,2,5828,5k-10k,8450,1,Y,1,12,3,2,80,0,8,0,3,8,7,7,4.0
RM356,26,26-35,0,3,933,2,1,3,1,1,476,3,1,57,3,2,7,3,1,5296,5k-10k,20156,1,Y,0,17,3,2,80,1,8,3,3,8,7,7,7.0
RM383,26,26-35,1,2,575,1,3,1,5,1,510,3,1,73,3,1,6,1,2,3102,Upto 5k,6582,0,Y,0,22,4,3,80,0,7,2,3,6,4,0,4.0
RM419,26,26-35,0,3,1349,1,23,3,1,1,560,1,0,90,3,1,6,4,0,2886,Upto 5k,3032,1,Y,0,22,4,2,80,2,3,3,1,3,2,0,2.0
RM454,26,26-35,1,2,426,0,17,4,1,1,608,2,0,58,3,1,1,3,0,2741,Upto 5k,22808,0,Y,1,11,3,2,80,1,8,2,2,7,7,1,0.0
RM461,26,26-35,0,3,775,2,29,2,3,1,618,1,1,45,3,2,7,3,0,4306,Upto 5k,4267,5,Y,0,12,3,1,80,2,8,5,3,0,0,0,0.0
RM464,26,26-35,1,3,471,1,24,3,5,1,622,3,1,66,1,1,2,4,2,2340,Upto 5k,23213,1,Y,1,18,3,2,80,0,1,3,1,1,0,0,0.0
RM476,26,26-35,0,3,703,2,28,2,2,1,641,1,1,66,3,2,7,2,1,6272,5k-10k,7428,1,Y,0,20,4,4,80,2,6,5,4,5,3,1,4.0
RM506,26,26-35,0,3,991,1,6,3,1,1,686,3,0,71,3,1,2,4,1,2659,Upto 5k,17759,1,Y,1,13,3,3,80,1,3,2,3,3,2,0,2.0
RM572,26,26-35,0,2,575,1,1,2,1,1,792,1,0,71,1,1,2,4,0,4364,Upto 5k,5288,3,Y,0,14,3,1,80,1,5,2,3,2,2,2,0.0
RM574,26,26-35,1,3,1146,2,8,3,5,1,796,4,1,38,2,2,7,1,2,5326,5k-10k,3064,6,Y,0,17,3,3,80,0,6,2,2,4,3,1,2.0
RM615,26,26-35,1,2,887,1,5,2,3,1,848,3,0,88,2,1,6,3,1,2366,Upto 5k,20898,1,Y,1,14,3,1,80,1,8,2,3,8,7,1,7.0
RM686,26,26-35,0,2,1283,2,1,3,3,1,956,3,1,52,2,2,7,1,2,4294,Upto 5k,11148,1,Y,0,12,3,2,80,0,7,2,3,7,7,0,7.0
RM734,26,26-35,0,3,1066,1,2,2,3,1,1018,4,1,32,4,2,4,4,1,5472,5k-10k,3334,1,Y,0,12,3,2,80,0,8,2,3,8,7,1,3.0
RM749,26,26-35,1,0,265,2,29,2,3,1,1037,2,1,79,1,2,7,1,2,4969,Upto 5k,21813,8,Y,0,18,3,4,80,0,7,6,3,2,2,2,2.0
RM763,26,26-35,1,2,342,1,2,3,1,1,1053,1,1,57,3,1,6,1,1,2042,Upto 5k,15346,6,Y,1,14,3,2,80,1,6,2,3,3,2,1,2.0
RM770,26,26-35,0,2,921,1,1,1,3,1,1068,1,0,66,2,1,6,3,0,2007,Upto 5k,25265,1,Y,0,13,3,3,80,2,5,5,3,5,3,1,3.0
